epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0892,1.45961,1.38449,3.33631,0.01677,3.8175,0.61343,0.7,0.65113,0.37277,0.61343,0.7,0.65113,0.3941,1.48226,1.07098,1.82527,0.02083,0,0.0002,0.0002,0.0002
2,45.956,0.92535,0.75657,1.57574,0.00901,1.52309,0.5187,1,0.80406,0.67729,0.5187,1,0.80406,0.62883,0.74977,0.64072,1.51359,0.00933,0,0.00039921,0.00039921,0.00039921
3,68.8442,0.87127,0.70647,1.10324,0.00771,0.88283,0.89908,0.89172,0.90167,0.68504,0.89908,0.89172,0.90167,0.71164,1.00583,0.71914,1.08672,0.01287,0,0.00057664,0.00057664,0.00057664
4,91.6683,0.97021,0.71713,0.9015,0.00964,0.51709,0.65995,0.58389,0.71856,0.58466,0.65995,0.58389,0.71856,0.57032,0.74334,0.85678,1.53375,0.01094,0,0.00073229,0.00073229,0.00073229
5,114.467,1.0375,0.70238,0.66299,0.01011,0.41198,1,0.77936,0.91979,0.68713,1,0.77936,0.91979,0.74197,0.95809,0.70203,0.93218,0.015,0,0.00086616,0.00086616,0.00086616
6,136.997,0.99764,0.69138,0.57438,0.00965,0.45118,0.7133,0.99552,0.90929,0.76331,0.7133,0.99552,0.90929,0.73237,0.70801,1.2755,0.84802,0.01028,0,0.00097825,0.00097825,0.00097825
7,159.48,1.00155,0.73648,0.55625,0.01077,0.52137,0.78351,0.72577,0.90536,0.69373,0.78351,0.72577,0.90536,0.56181,0.9822,2.10096,0.84959,0.01402,0,0.00106856,0.00106856,0.00106856
8,182.731,1.02291,0.7221,0.55616,0.01044,0.42713,1,0.9742,0.995,0.72074,1,0.9742,0.995,0.8192,1.05291,1.0606,0.6001,0.01709,0,0.00113709,0.00113709,0.00113709
9,207.284,0.98334,0.60202,0.53634,0.0106,0.26823,0.90828,1,0.94955,0.76178,0.90828,1,0.94955,0.8302,0.91932,0.4724,0.58795,0.01383,0,0.00118384,0.00118384,0.00118384
10,233.927,1.0125,0.60143,0.50777,0.01068,0.36717,0.98411,0.9,0.96643,0.71212,0.98411,0.9,0.96643,0.82905,1.02369,0.42784,0.62118,0.01636,0,0.001109,0.001109,0.001109
11,260.685,1.07111,0.50364,0.63811,0.01877,0.27332,0.82944,0.97431,0.91722,0.64369,0.82944,0.97431,0.91722,0.82669,1.19242,0.37445,0.9431,0.02019,0,0.00101,0.00101,0.00101
12,286.497,0.95189,0.46687,0.5612,0.01613,0.28685,0.89528,0.85751,0.94643,0.69302,0.89528,0.85751,0.94643,0.87039,1.02919,0.39233,0.88668,0.01686,0,0.000911,0.000911,0.000911
13,312.058,0.87909,0.47925,0.523,0.01463,0.25212,0.88718,0.78773,0.88963,0.69754,0.88718,0.78773,0.88963,0.8031,0.84974,0.40543,0.95548,0.01313,0,0.000812,0.000812,0.000812
14,337.35,0.72979,0.41941,0.47582,0.01097,0.24192,0.67695,0.9,0.82929,0.69221,0.67695,0.9,0.82929,0.75221,0.65047,0.38205,0.7522,0.01003,0,0.000713,0.000713,0.000713
15,365.108,0.6857,0.45998,0.40837,0.0105,0.24949,1,0.69006,0.88667,0.69728,1,0.69006,0.88667,0.82237,0.92255,0.38347,0.77306,0.01415,0,0.000614,0.000614,0.000614
16,390.764,0.70951,0.43207,0.4309,0.01088,0.21644,0.88525,0.77377,0.89944,0.70007,0.88525,0.77377,0.89944,0.83112,0.86686,0.41952,0.84386,0.01284,0,0.000515,0.000515,0.000515
17,416.028,0.69899,0.45623,0.39979,0.01063,0.21176,0.88037,0.8,0.88252,0.78188,0.88037,0.8,0.88252,0.82298,0.58481,0.40488,0.6977,0.00892,0,0.000416,0.000416,0.000416
18,441.986,0.60005,0.45254,0.39627,0.00921,0.25417,0.89783,0.88049,0.91262,0.82156,0.89783,0.88049,0.91262,0.84863,0.60994,0.37832,0.6359,0.00922,0,0.000317,0.000317,0.000317
19,467.63,0.59696,0.41602,0.39285,0.0091,0.2389,0.81687,0.89276,0.9171,0.80204,0.81687,0.89276,0.9171,0.85956,0.62477,0.36657,0.58361,0.00917,0,0.000218,0.000218,0.000218
20,493.255,0.5647,0.40989,0.3792,0.00804,0.2754,0.80453,0.9,0.93237,0.8273,0.80453,0.9,0.93237,0.87514,0.5666,0.36492,0.54743,0.0079,0,0.000119,0.000119,0.000119
